,card_name,image_src,side,time,isAbility
61,skeletons,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/skeletons.png",blue,3635,0
62,hog-rider,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/hog-rider.png",blue,3655,0
63,barbarian-barrel,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/barbarian-barrel.png",blue,3675,0
64,fisherman,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/fisherman.png",red,3701,0
65,electro-spirit,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/electro-spirit.png",red,3728,0
66,earthquake,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/earthquake.png",blue,3741,0
67,barbarian-barrel,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/barbarian-barrel.png",red,3747,0
68,firecracker,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/firecracker.png",blue,3825,0
69,monk,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/monk.png",red,3865,0
70,skeletons,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/skeletons.png",blue,3887,0
71,electro-spirit,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/electro-spirit.png",blue,3912,0
72,royal-giant,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/royal-giant.png",red,3921,0
73,barbarian-barrel,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/barbarian-barrel.png",blue,3944,0
74,_invalid,https://cdn.royaleapi.com/static/img/ability/ability-75/ability-monk.png?t=1a4e15b1c,red,3981,1
75,fisherman,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/fisherman.png",red,4033,0
76,mighty-miner,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/mighty-miner.png",blue,4034,0
77,cannon,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/cannon.png",blue,4056,0
78,electro-spirit,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/electro-spirit.png",red,4095,0
79,barbarian-barrel,"https://cdns3.royaleapi.com/cdn-cgi/image/q=80,w=75,h=90,format=auto/static/img/cards/v8-7d088998/barbarian-barrel.png",red,4133,0
