entity_type,player_tag,clan_tag,country,error
player,#VCUVULQL,#GY8URY02,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VC0P29Y82,#GPQU009J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UVQUVQQ2J,#GY8URY02,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V2RUQ0VLG,#GPQU009J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20PVC8900P,#GPPQU0RL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UCU8C0V80,#GPPQU0RL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#J2VQPJJ8R,#GYVL8GRL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#C0GYJVGV8,#GYVL8GRL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20YP2GV9U0,#GPPQU0RL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UGYG9U8GC,#R080LPR0,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#80QCCJ28P,#GYVL8GRL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#QYUCQYJL0,#R080LPR0,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CUJYQPQJQ,#R080LPR0,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#R2Y89L2Q,#R080LPR0,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V9GVL8JU8,#R080LPR0,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20YY2RCRC,#QV09PP9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#URQJRYJYP,#QV09PP9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VPGLRVLLC,#QV09PP9J,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#RYCU9LJ80,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#GJ2VV0GG9,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#80LV0RCY0,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#V2PYCGCGJ,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#JUPVCLGJQ,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UC9PYLGRG,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VL2L9GQYQ,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CVJGVJV2J,#R2PPUCJL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UC8CJYJJ8,#GRPP929V,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#9VRRL0V2Y,#R2PPUCJL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2099GV0JQG,#R2PPUCJL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20PGYQLQU0,#R2PPUCJL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UYP9U08C2,#R2PPUCJL,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#209C8GVJU8,#R08J89RG,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CJQJ0YY80,#R08J89RG,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#UUY2GPVJP,#R08J89RG,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#U2G800J8J,#R08J89RG,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#VPY9GJC0J,#GYR8P290,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20YC8RUCRU,#GYR8P290,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20PP90QPQR,#GLQ2LV8Q,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#20RYV8YPPC,#GLQ2LV8Q,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#GUQJ8R00,#RGRLYQR8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#LUP809R9J,#RGRLYQR8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2V9R98RQ2,#RGRLYQR8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#200RCRLRU,#RGRLYQR8,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2GPJL9QJY,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#9L0LV0JL9,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#PVJ0VQRLC,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#2VPYG988Y,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#J9Y2902QV,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
player,#CCPULGP0Y,#QLRPYG9C,Turkey,"HTTP 429: {""reason"":""requestThrottled"",""message"":""Request throttling limits exceeded""}"
